file name,func-1 for loop,func-1 while loop,func-1 goto loop,func-1 multiplication operator,func-1 divide operator,func-1 less operator,func-1 lessEq operator,func-1 greater operator,func-1 greaterEq operator,func-1 eq operator,func-1 neq operator,func-1 and operator,func-1 or operator,func-1 decrement operator,func-1 increment operator,func-1 if statement,func-1 ? statement,func-1 switch statement,func-1 continue statement,func-1 break statement,func-1 recursion block,func-1 garbage block,func-1 bitleft operator,func-2 for loop,func-2 while loop,func-2 goto loop,func-2 multiplication operator,func-2 divide operator,func-2 less operator,func-2 lessEq operator,func-2 greater operator,func-2 greaterEq operator,func-2 eq operator,func-2 neq operator,func-2 and operator,func-2 or operator,func-2 decrement operator,func-2 increment operator,func-2 if statement,func-2 ? statement,func-2 switch statement,func-2 continue statement,func-2 break statement,func-2 recursion block,func-2 garbage block,func-2 bitleft operator,--depth,--unwind,--partial-loops,--no-unwinding-assertions,execution time,cbmc time,successful verification
./function_equivalent_code/8.1_0_0.c,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0037669799999999753,0.00430365,True
./function_equivalent_code/8.1_0_0.c,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0.001956123000000032,,True
./function_equivalent_code/8.1_0_0.c,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0.001849663999999973,,True
./function_equivalent_code/8.1_0_0.c,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0.0017276069999999644,,True
./function_equivalent_code/8.1_0_0.c,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0.0030111199999999783,,True
./function_equivalent_code/8.1_0_0.c,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0.002425228999999973,,True
./function_equivalent_code/8.1_0_0.c,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0.002503757999999967,,True
./function_equivalent_code/8.1_0_0.c,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0.0022336410000000084,0.000858862,True
./function_equivalent_code/8.1_0_0.c,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0.003053725999999979,,True
./function_equivalent_code/8.1_0_0.c,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0.0022068069999999773,0.00155936,True
